id,slug,name,brand,model,trim
b47016f6-109a-4a5f-94a4-1fff68421a30,honda-civic-si-em1,"Civic Si EM1","Honda","EM1 Civic","Si"
bd08535d-9a43-41ca-8a3e-d6adae68cb92,honda-civic-si-ep3,"Civic Si EP3","Honda","EP3 Civic","Si"
a781a411-75a1-4b00-a566-596770662df2,honda-civic-si-fg2,"Civic Si FG2","Honda","FG2 Civic","Si"
27921895-5abf-42b9-b579-241c3812585f,honda-civic-type-r-fk8,"Civic Type R FK8","Honda","FK8 Civic","Type R"
27f34342-df30-46ee-ad69-cb214b6c6d22,honda-civic-type-r-fl5,"Civic Type R FL5","Honda","FL5 Civic","Type R"
36ea335f-ce2d-4706-acbd-78a8112bc30a,honda-crx-si-ef,"CRX Si","Honda","CRX","Si"
3b7764da-599c-4f0a-9fd0-8163e2e7f376,honda-del-sol-vtec-eg,"Del Sol VTEC","Honda","Del Sol","VTEC"
19530669-e6cd-4f56-a5a7-0ab093ac6fa2,honda-prelude-si-vtec-bb4,"Prelude Si VTEC","Honda","Prelude","Si VTEC"
fdac12ac-c68a-4299-a9a8-05ec6110c833,honda-s2000,"S2000","Honda","S2000","Standard"
0b14a76b-1d48-40aa-ab94-d7011daebe55,hyundai-elantra-n-cn7,"Elantra N","Hyundai","Elantra","N"
bbeed4d2-3baa-4453-95da-b43471ce1d59,hyundai-kona-n-2022,"Kona N","Hyundai","Kona","N"
eb91e2d0-7f43-4723-a1de-a5c612f3985e,hyundai-veloster-n-js,"Veloster N","Hyundai","Veloster","N"
58ecbe98-974c-401a-a159-df5f89066a3b,infiniti-g35-coupe-v35,"G35 Coupe","Infiniti","G35","Coupe"
3020ef7e-d673-41c3-a8a7-a0eb85dfa04e,infiniti-g37-coupe-cv36,"G37 Coupe","Infiniti","G37","Coupe"
41ac8d5d-0124-45e5-aa63-0ccf6daad420,infiniti-g37-sedan,"G37 Sedan","Infiniti","G37","Sedan"
2d8a9d79-550d-4202-b5e3-bc4f5b80d2b0,infiniti-q50-red-sport-400,"Q50 Red Sport 400","Infiniti","Q50","Red Sport 400"
6ad59c35-8a5f-450c-bdb2-cc3650192a4c,infiniti-q60-red-sport-400,"Q60 Red Sport 400","Infiniti","Q60","Red Sport 400"
